GEOID10,pop,sldl_2000,sldl_2016,sldu_2000,sldl_2013,sldl_2018,cd_2003,sldl_2010,sldu_2013,sldu_2010,sldl_2015
500019602001000,9,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001001,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001002,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001003,67,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001004,40,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001005,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001006,63,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001007,89,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001008,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001009,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001010,63,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001011,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001012,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001013,8,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001014,121,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001015,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001016,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001017,27,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001018,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001019,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001020,56,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001021,15,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001022,12,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001023,128,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001024,5,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001025,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001026,8,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001027,63,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001028,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001029,294,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001030,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001031,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001032,7,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001033,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001034,46,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001035,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001036,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001037,4,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001038,2,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001039,38,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001040,23,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001041,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001042,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001043,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001044,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001045,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001046,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001047,47,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001048,36,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001049,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001050,2,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001051,8,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001052,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001053,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001054,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001055,10,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001056,18,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001057,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001058,4,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001059,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001060,72,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001061,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001062,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001063,4,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001064,7,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001065,4,A41,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001066,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001067,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001068,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001069,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602001070,0,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002000,54,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002001,5,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002002,6,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
500019602002003,3,A-1,A-3,ADD,A-3,A-3,0.0,A-3,ADD,ADD,A-3
