GEOID10,pop,sldl_2000,cd_2013,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
090010101022028,13,151,004,149,036,004,149,036,036
090010101022029,0,151,004,149,036,004,149,036,036
090010101022030,12,151,004,149,036,004,149,036,036
090010101022031,87,151,004,149,036,004,149,036,036
090010101022032,14,151,004,149,036,004,149,036,036
090010101022033,127,151,004,149,036,004,149,036,036
090010101022034,56,151,004,149,036,004,149,036,036
090010101022035,52,151,004,149,036,004,149,036,036
090010101022036,310,151,004,151,036,004,149,036,036
090010101022037,17,151,004,151,036,004,149,036,036
090010101022038,0,151,004,151,036,004,149,036,036
090010101022039,7,151,004,151,036,004,149,036,036
090010101022040,0,151,004,151,036,004,149,036,036
090010101022041,0,151,004,151,036,004,149,036,036
090010101022042,24,151,004,149,036,004,149,036,036
090010101022043,0,151,004,149,036,004,149,036,036
090010101022044,86,151,004,149,036,004,149,036,036
090010101023000,249,149,004,149,036,004,149,036,036
090010101023001,0,149,004,149,036,004,149,036,036
090010101023002,4,149,004,149,036,004,149,036,036
090010101023003,0,149,004,149,036,004,149,036,036
090010101023004,102,149,004,149,036,004,149,036,036
090010101023005,48,149,004,149,036,004,149,036,036
090010101023006,32,149,004,149,036,004,149,036,036
090010101023007,3,149,004,149,036,004,149,036,036
090010101023008,0,149,004,149,036,004,149,036,036
090010101023009,9,149,004,149,036,004,149,036,036
090010101023010,105,149,004,149,036,004,149,036,036
090010101023011,0,149,004,149,036,004,149,036,036
090010101023012,34,149,004,149,036,004,149,036,036
090010101023013,49,149,004,149,036,004,149,036,036
090010101023014,0,149,004,149,036,004,149,036,036
090010101023015,0,149,004,149,036,004,149,036,036
090010101023016,0,149,004,149,036,004,149,036,036
090010101023017,9,149,004,149,036,004,149,036,036
090010101023018,15,149,004,149,036,004,149,036,036
090010101023019,0,149,004,149,036,004,149,036,036
090010101023020,15,149,004,149,036,004,149,036,036
090010101023021,0,149,004,149,036,004,149,036,036
090010101023022,0,149,004,149,036,004,149,036,036
090010101023023,2,149,004,149,036,004,149,036,036
090010101023024,66,149,004,149,036,004,149,036,036
090010101023025,0,149,004,149,036,004,149,036,036
090010101023026,0,149,004,149,036,004,149,036,036
090010101023027,29,149,004,149,036,004,149,036,036
090010101023028,124,149,004,149,036,004,149,036,036
090010101023029,0,149,004,149,036,004,149,036,036
090010101023030,0,149,004,149,036,004,149,036,036
090010101023031,4,149,004,149,036,004,149,036,036
090010101023032,4,149,004,149,036,004,149,036,036
090010101023033,28,149,004,149,036,004,149,036,036
090010101023034,0,149,004,149,036,004,149,036,036
090010101023035,8,149,004,149,036,004,149,036,036
090010101023036,96,149,004,149,036,004,149,036,036
090010101023037,4,149,004,149,036,004,149,036,036
090010101023038,1,149,004,149,036,004,149,036,036
090010101023039,0,149,004,149,036,004,149,036,036
090010101023040,0,149,004,149,036,004,149,036,036
090010101023041,0,149,004,149,036,004,149,036,036
090010101023042,0,149,004,149,036,004,149,036,036
090010101023043,15,149,004,149,036,004,149,036,036
090010101023044,0,149,004,149,036,004,149,036,036
090010101023045,3,149,004,149,036,004,149,036,036
090010101023046,0,151,004,149,036,004,149,036,036
090010101023047,0,149,004,149,036,004,149,036,036
090010101023048,11,149,004,149,036,004,149,036,036
090010101023049,0,149,004,149,036,004,149,036,036
090010101023050,40,149,004,149,036,004,149,036,036
090010101023051,36,149,004,149,036,004,149,036,036
090010101023052,0,149,004,149,036,004,149,036,036
090010101023053,0,149,004,149,036,004,149,036,036
090010101023054,0,149,004,149,036,004,149,036,036
090010101023055,18,149,004,149,036,004,149,036,036
090010101023056,4,149,004,149,036,004,149,036,036
090010101023057,3,149,004,149,036,004,149,036,036
090010101023058,73,149,004,149,036,004,149,036,036
090010101023059,46,149,004,149,036,004,149,036,036
090010101023060,1,149,004,149,036,004,149,036,036
090010101023061,99,149,004,149,036,004,149,036,036
090010101023062,0,149,004,149,036,004,149,036,036
090010101023063,6,149,004,149,036,004,149,036,036
090010101023064,0,149,004,149,036,004,149,036,036
090010101023065,0,149,004,149,036,004,149,036,036
090010101023066,15,149,004,149,036,004,149,036,036
090010101023067,0,149,004,149,036,004,149,036,036
090010101023068,38,149,004,149,036,004,149,036,036
090010101023069,0,149,004,149,036,004,149,036,036
090010101023070,2,149,004,149,036,004,149,036,036
090010101023071,0,149,004,149,036,004,149,036,036
090010101023072,3,149,004,149,036,004,149,036,036
090010101023073,1,149,004,149,036,004,149,036,036
090010102011000,91,151,004,151,036,004,151,036,036
090010102011001,4,151,004,151,036,004,151,036,036
090010102011002,131,151,004,151,036,004,151,036,036
090010102011003,0,151,004,149,036,004,151,036,036
090010102011004,4,151,004,149,036,004,151,036,036
090010102011005,36,151,004,151,036,004,151,036,036
090010102011006,0,151,004,151,036,004,151,036,036
090010102011007,1,151,004,151,036,004,151,036,036
090010102011008,0,151,004,151,036,004,151,036,036
090010102011009,21,151,004,151,036,004,151,036,036
090010102011010,0,151,004,151,036,004,151,036,036
090010102011011,0,151,004,151,036,004,149,036,036
090010102011012,42,151,004,149,036,004,151,036,036
090010102011013,26,151,004,149,036,004,151,036,036
090010102011014,0,151,004,149,036,004,151,036,036
090010102011015,0,151,004,149,036,004,151,036,036
090010102011016,0,151,004,149,036,004,151,036,036
090010102011017,21,151,004,149,036,004,151,036,036
090010102011018,56,151,004,149,036,004,151,036,036
090010102011019,0,151,004,149,036,004,151,036,036
090010102011020,31,151,004,149,036,004,151,036,036
090010102011021,2,151,004,149,036,004,151,036,036
090010102011022,31,151,004,149,036,004,151,036,036
090010102011023,0,151,004,151,036,004,151,036,036
090010102011024,163,151,004,151,036,004,151,036,036
090010102011025,0,151,004,151,036,004,151,036,036
090010102011026,50,151,004,151,036,004,151,036,036
090010102011027,7,151,004,151,036,004,151,036,036
090010102011028,44,151,004,151,036,004,151,036,036
090010102011029,5,151,004,149,036,004,151,036,036
090010102011030,275,151,004,151,036,004,151,036,036
090010102011031,0,151,004,151,036,004,149,036,036
090010102011032,6,151,004,151,036,004,151,036,036
090010102011033,18,151,004,149,036,004,151,036,036
090010102012000,239,151,004,151,036,004,151,036,036
090010102012001,2,151,004,151,036,004,151,036,036
090010102012002,9,151,004,151,036,004,151,036,036
090010102012003,12,151,004,151,036,004,151,036,036
090010102012004,10,151,004,151,036,004,151,036,036
090010102012005,86,151,004,151,036,004,151,036,036
090010102012006,41,151,004,151,036,004,151,036,036
090010102012007,8,151,004,151,036,004,151,036,036
090010102012008,163,151,004,151,036,004,151,036,036
090010102012009,107,151,004,151,036,004,151,036,036
090010102012010,0,151,004,151,036,004,151,036,036
090010102012011,34,151,004,151,036,004,151,036,036
090010102012012,10,151,004,151,036,004,151,036,036
